,ci,lum,tem,logl
20786,-0.094,49.1586559156862,-23529.411764705877,3.895052943308728
20787,1.138,126.473634747115,-4681.404421326399,4.840033865473483
20788,1.53,10280162.9812647,-3730.569948186528,16.145726672074243
20789,,16.6571232806881,,2.8128379496015263
20790,0.677,3.68128973642531,-6685.236768802229,1.3032631626346287
20791,0.27,9.96322641954417,-10746.268656716416,2.2989009568452548
20792,1.208,156.747275180044,-4477.611940298507,5.0546347961405305
20793,0.328,9.18755601666062,-9890.10989010989,2.217849961571864
20794,0.22,10.2517970482556,-11612.90322580645,2.327453011998384
20795,1.101,19.9526231496888,-4796.802131912059,2.99336062089226
20796,0.172,15.8197639860115,-12587.412587412586,2.7612600435184564
20797,1.018,27.0644994903848,-5077.574047954866,3.2982228872046706
20798,0.259,42.5794453582597,-10925.644916540212,3.7513716335059
20799,0.839,0.449572771301905,-5811.138014527845,-0.7994575442875339
20800,1.293,13.931568029453,-4252.805670407561,2.634157346385186
20801,0.038,47.3369203348302,-16438.35616438356,3.8572905477836263
20802,1.154,31.8566423657311,-4633.204633204634,3.4612459117886485
20803,0.827,8.47227414140596,-5867.9706601467,2.136798966298474
20804,0.389,11.934383792108,-9125.475285171102,2.4794236281359923
20805,1.614,316.519156722626,-3574.975173783515,5.75738376652231
20806,-0.031,102.896357229675,-19512.19512195122,4.633722241141214
20807,0.222,28.9201139621549,-11575.56270096463,3.3645373378829
20808,0.452,4.59621144666001,-8450.704225352112,1.5252323655992552
20809,-0.106,293.224328230312,-24489.795918367345,5.6809379414349115
20810,0.429,2.24491550756959,-8685.162846803378,0.8086678846595089
20811,1.103,114.287833478977,-4790.419161676647,4.7387201213817445
20812,1.079,23.33458062281,-4868.15415821501,3.1499364072158533
20813,0.51,9.78137704322986,-7912.087912087912,2.280480276101303
20814,1.93,29.3224328230312,-3090.1287553648067,3.3783528484408656
20815,0.501,4.60892880980895,-7991.120976692564,1.527995467710848
20816,0.477,3.08745047558745,-8209.806157354618,1.1273456615298858
20817,0.142,1224616.19926505,-13284.132841328412,14.018138046147751
20818,0.976,17.6685129845388,-5232.5581395348845,2.871784127982173
20819,0.519,9.06149802231997,-7834.602829162132,2.2040344510139
20820,0.451,17.1869969539774,-8460.63454759107,2.844153106866246
20821,1.378,13.1461928821609,-4049.493813273341,2.576132202041742
